T+,calib?,armed?,ignition?,apogee?,touchdown?,state,Vbat,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,temp,pres,alt,vvel,vaccel,tvc_x,tvc_y,pyro_motor,pyro_parachute
118.415,1,1,0,0,0,ARMED,11.957,-0.232,-0.035,-9.928,-0.001,-0.002,-0.001,-23.488,-12.551,35.917,0.998,-0.002,0,-0.068,37.13,100915.469,0.007,0.05,0.147,-0.185,-0.018,BROKEN,STANDBY
118.467,1,1,0,0,0,ARMED,11.995,-0.232,-0.035,-9.928,-0.002,-0.001,-0.003,-24.217,-13.434,35.857,0.998,-0.002,0,-0.068,37.13,100931.898,0.014,0.061,0.143,-0.124,0.004,BROKEN,STANDBY
118.518,1,1,0,0,0,ARMED,12.018,-0.232,-0.015,-9.928,-0.001,-0.001,-0.003,-22.254,-13.948,35.345,0.998,-0.002,0,-0.068,37.13,100926.141,0.003,0.056,0.145,-0.111,0.02,BROKEN,STANDBY
118.568,1,1,0,0,0,ARMED,12.003,-0.232,-0.035,-9.988,-0.002,0,-0.005,-23.818,-13.028,35.408,0.998,-0.002,0,-0.068,37.12,100918.039,-0.018,0.041,0.147,-0.127,0.037,BROKEN,STANDBY
118.619,1,1,0,0,0,ARMED,11.979,-0.212,-0.035,-9.948,-0.001,0,-0.002,-24.236,-12.092,35.949,0.998,-0.002,0,-0.068,37.13,100921.445,-0.041,0.027,0.153,-0.14,-0.004,BROKEN,STANDBY
118.67,1,1,0,0,0,ARMED,11.988,-0.212,-0.015,-9.988,0.002,-0.001,-0.003,-25.02,-13.869,35.829,0.998,-0.002,0,-0.068,37.14,100923.578,-0.088,-0.008,0.149,-0.118,0.027,BROKEN,STANDBY
118.721,1,1,0,0,0,ARMED,11.976,-0.232,-0.035,-9.948,-0.001,-0.002,-0.003,-24.235,-12.127,35.47,0.998,-0.002,0,-0.068,37.12,100920.391,-0.124,-0.033,0.146,-0.102,-0.012,BROKEN,STANDBY
118.772,1,1,0,0,0,ARMED,11.98,-0.232,-0.035,-9.968,0,0.001,-0.003,-22.272,-12.636,35.026,0.998,-0.002,0,-0.069,37.13,100924.859,-0.125,-0.025,0.147,-0.127,0.01,BROKEN,STANDBY
118.823,1,1,0,0,0,ARMED,11.993,-0.212,-0.035,-9.968,-0.002,0.001,-0.003,-24.648,-11.603,36.458,0.998,-0.002,0,-0.069,37.14,100918.875,-0.102,0.004,0.15,-0.135,-0.004,BROKEN,STANDBY
118.873,1,1,0,0,0,ARMED,11.995,-0.251,-0.015,-9.968,0.002,-0.001,-0.002,-23.811,-13.506,34.968,0.998,-0.002,0,-0.069,37.14,100925.914,-0.061,0.047,0.153,-0.132,-0.014,BROKEN,STANDBY
118.924,1,1,0,0,0,ARMED,11.981,-0.212,-0.015,-9.948,0.001,0,-0.002,-24.238,-12.026,36.837,0.998,-0.002,0,-0.069,37.14,100921.227,-0.078,0.037,0.149,-0.13,-0.012,BROKEN,STANDBY
118.975,1,1,0,0,0,ARMED,12.003,-0.192,-0.015,-9.988,0,-0.001,-0.001,-24.215,-13.535,34.49,0.998,-0.002,0,-0.069,37.13,100924.859,-0.077,0.044,0.147,-0.108,0.02,BROKEN,STANDBY
119.025,1,1,0,0,0,ARMED,11.992,-0.212,-0.035,-9.968,0,0,-0.004,-23.077,-13.005,35.886,0.998,-0.002,0,-0.069,37.13,100921.445,-0.079,0.047,0.154,-0.146,0,BROKEN,STANDBY
