Designator,Mid X,Mid Y,Rotation,Layer
BZ1,85.25,-79.5,0.0,top
C1,123.75,-83.5,0.0,top
C10,108.0,-93.25,0.0,top
C11,118.5,-92.75,0.0,bottom
C12,123.0,-96.25,180.0,top
C13,119.0,-87.25,0.0,bottom
C14,140.5,-91.5,180.0,bottom
C15,140.5,-90.0,180.0,bottom
C16,109.5,-79.5,0.0,top
C17,109.5,-78.0,0.0,top
C18,131.0,-68.75,0.0,top
C19,150.75,-66.5,0.0,top
C2,123.75,-85.0,0.0,top
C20,132.0,-71.25,0.0,top
C21,143.0,-66.0,0.0,top
C22,134.75,-66.75,180.0,top
C23,129.75,-76.5,0.0,bottom
C24,134.75,-68.25,180.0,top
C25,129.75,-78.75,0.0,bottom
C26,145.0,-75.0,0.0,top
C27,106.0,-103.5,180.0,top
C28,131.0,-70.5,180.0,bottom
C3,87.25,-99.25,0.0,top
C4,115.0,-93.75,180.0,bottom
C5,114.75,-88.75,180.0,bottom
C6,123.75,-80.0,0.0,top
C7,123.75,-77.5,0.0,top
C8,118.25,-73.75,0.0,top
C9,114.75,-75.5,0.0,top
D1,146.75,-72.75,0.0,top
D2,99.75,-78.25,180.0,top
D3,131.75,-102.5,180.0,top
D4,122.331263,-74.017617,0.0,top
J1,125.25,-105.5,90.0,top
J10,126.5,-124.695,0.0,top
J11,130.25,-124.735,0.0,top
J12,108.8,-59.985,180.0,top
J13,152.5,-102.25,270.0,top
J14,152.475,-93.75,270.0,top
J15,89.255114,-61.737347,45.0,top
J16,152.5,-85.25,270.0,top
J17,86.949684,-113.94679,315.0,top
J18,140.834296,-120.30917,45.0,top
J19,126.75,-58.75,180.0,top
J2,140.25,-104.5,180.0,top
J20,93.331471,-120.327102,315.0,top
J21,147.330832,-113.826551,45.0,top
J3,145.75,-62.0,315.0,top
J4,115.0,-124.695,0.0,top
J5,111.25,-124.695,0.0,top
J6,107.5,-124.695,0.0,top
J7,103.75,-124.695,0.0,top
J8,119.0,-124.695,0.0,top
J9,122.75,-124.695,0.0,top
L1,109.5,-76.5,180.0,top
L2,138.75,-64.25,180.0,top
Q1,93.75,-107.25,135.0,bottom
Q2,134.5,-113.25,45.0,bottom
Q3,100.0,-113.25,135.0,bottom
Q4,140.25,-107.25,45.0,bottom
Q5,92.25,-86.25,180.0,top
R1,85.75,-91.75,180.0,top
R10,105.75,-73.0,0.0,top
R11,154.25,-80.25,180.0,top
R12,151.25,-80.25,0.0,top
R13,138.0,-68.25,0.0,top
R14,138.0,-69.75,180.0,top
R15,150.0,-76.0,180.0,top
R16,150.0,-77.5,0.0,top
R17,146.75,-71.25,0.0,top
R18,87.25,-106.0,180.0,top
R19,139.0,-112.75,0.0,top
R2,106.75,-67.75,180.0,bottom
R20,93.25,-106.0,180.0,top
R21,133.0,-112.75,0.0,top
R22,90.25,-106.0,0.0,top
R23,136.0,-112.75,180.0,top
R24,104.0,-76.75,180.0,top
R25,104.0,-78.25,180.0,top
R26,104.0,-79.75,180.0,top
R27,90.25,-107.5,180.0,top
R28,136.0,-114.25,0.0,top
R29,94.75,-112.75,180.0,top
R3,108.25,-66.0,180.0,bottom
R30,148.0,-101.0,180.0,bottom
R31,92.0,-89.25,0.0,top
R32,100.75,-112.75,180.0,top
R33,142.0,-101.0,180.0,bottom
R34,129.5,-60.75,0.0,bottom
R35,129.5,-62.25,180.0,bottom
R36,97.75,-112.75,0.0,top
R37,145.0,-101.0,0.0,bottom
R38,131.75,-104.0,0.0,top
R39,122.325,-72.5,180.0,top
R4,129.0,-71.25,180.0,top
R40,97.75,-114.25,180.0,top
R41,145.0,-102.5,180.0,bottom
R5,126.0,-71.25,0.0,top
R6,111.0,-67.75,0.0,bottom
R7,114.0,-67.75,0.0,bottom
R8,119.75,-70.0,180.0,top
R9,117.0,-67.75,0.0,bottom
SW1,81.75,-92.1375,90.0,top
SW2,82.0,-102.5,270.0,top
U1,117.0,-90.0,180.0,top
U2,138.0,-91.0,0.0,top
U3,131.0,-73.75,270.0,top
U4,142.75,-68.75,180.0,top
U5,136.15,-78.8,0.0,bottom
U6,139.0,-75.0,180.0,top
U7,106.25,-99.75,270.0,top
U8,126.75,-70.75,90.0,bottom
Y1,116.5,-78.5,0.0,top
Y2,121.0,-78.75,90.0,top
