Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C16, C2, C22, C3, C4, C7, C9",0603,13,100nF,
C15,0603,1,1uF,
"C19, C20, C5, C6",0603,4,22pF,
"C21, C23",0603,2,2.2uF,
C8,0603,1,4.7uF,
D1,LED_Avago_PLCC6_3x2.8mm,1,ASMT-YTB7-0AA02,
D2,0603,1,RED LED,
D3,0603,1,BLUE LED,
D4,0603,1,GREEN LED,
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_2.2mm_M2_Pad_TopBottom,8,MountingHole_Pad,
J1,SMA_Amphenol_132134-10_Vertical,1,GNSS_SMA,
J2,PinHeader_2x05_P1.27mm_Vertical_SMD,1,SWD,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,USART,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,3.3V IN,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CNTRL I2C,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Reset Jumper,
L1,L_TDK_NLV32_3.2x2.5mm,1,27nH,
L2,0603,1,39nH,
"R1, R13, R2, R21, R7, R8",0603,6,4.7K,
"R10, R14, R22, R23, R9",0603,5,10K,
"R11, R12",0603,2,5.1K,
"R15, R16, R17, R18, R19, R20",0603,6,220R,
"R3, R4",0603,2,33R,
R5,0603,1,10R,
R6,0603,1,100K,
"SW1, SW2",SW_TH_Tactile_Omron_B3F-10xx,2,Omron_B3F-10xx,
TP1,TestPoint_Pad_D2.0mm,1,3.3V,
U1,XDCR_BMP390L,1,BMP390,
U2,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
U3,ublox_NEO,1,NEO-M9N,
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F205RETx,
U6,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz_ECS-120-18-33-JGN-TR3,
