Designator,Mid X,Mid Y,Rotation,Layer
C1,168.0,-103.75,0.0,top
C10,141.25,-95.25,180.0,top
C11,158.5,-85.75,0.0,top
C12,144.0,-82.275,90.0,top
C13,159.25,-96.5,0.0,top
C14,157.5,-101.75,270.0,top
C15,155.5,-101.75,270.0,top
C16,127.5,-91.0,0.0,top
C19,144.5,-109.0,90.0,top
C2,167.975,-106.25,0.0,top
C20,148.15,-113.25,180.0,top
C21,159.5,-87.5,180.0,top
C22,153.75,-63.25,0.0,top
C23,146.0,-82.275,270.0,top
C3,120.25,-103.75,90.0,top
C4,125.5,-108.0,0.0,top
C5,127.25,-96.0,90.0,top
C6,124.75,-96.0,90.0,top
C7,177.25,-73.75,270.0,top
C8,158.5,-83.75,0.0,top
C9,143.5,-98.0,180.0,top
D1,156.0,-75.0,270.0,top
D2,138.7875,-98.75,0.0,top
D3,138.7875,-101.34,0.0,top
D4,183.7125,-105.25,0.0,top
J1,169.0,-70.25,0.0,top
J2,135.0,-71.5,0.0,top
J3,185.747301,-82.933918,270.0,top
J4,185.727562,-100.038586,270.0,top
J5,185.747301,-91.490845,270.0,top
J6,150.25,-56.25,180.0,top
J7,123.75,-89.75,180.0,top
L1,175.75,-70.25,0.0,top
L2,153.5,-101.75,90.0,top
R1,131.75,-103.25,90.0,top
R10,161.0,-101.25,90.0,top
R11,149.75,-64.75,270.0,top
R12,145.75,-62.5,180.0,top
R13,177.75,-78.5,180.0,top
R14,184.0,-77.75,180.0,top
R15,154.0,-70.75,270.0,top
R16,156.0,-70.75,270.0,top
R17,158.0,-70.75,270.0,top
R18,135.25,-98.75,0.0,top
R19,135.254074,-101.333666,0.0,top
R2,130.0,-99.5,180.0,top
R20,183.75,-107.0,0.0,top
R21,177.75,-80.25,180.0,top
R22,181.25,-89.0,270.0,top
R23,128.5,-108.75,90.0,top
R3,163.25,-90.25,0.0,top
R4,163.25,-88.25,180.0,top
R5,179.25,-73.75,270.0,top
R6,123.5,-78.25,0.0,top
R7,175.0,-103.25,270.0,top
R8,177.25,-103.25,270.0,top
R9,163.75,-109.5,0.0,top
SW1,117.0,-80.5,0.0,top
SW2,117.0,-88.25,0.0,top
U1,165.0,-106.75,0.0,top
U2,127.0,-103.25,0.0,top
U3,172.72,-90.5,180.0,top
U4,150.25,-91.5,0.0,top
U6,144.0,-67.25,90.0,top
Y1,126.0,-99.5,180.0,top
Y2,147.9,-109.5,90.0,top
